id,contract_id,contract_type,side,seller_id,branch_code,currency,rating,notional,rate_type,interest_rate,spread_over_index,settlement_date,maturity_date,tenor_months,payment_frequency,day_count,business_day_convention,amortization_type,prepayment_allowed,prepayment_penalty,guarantee_type,profiles_json,rates_json,risk_weight,created_at
048d9aa8-8c7c-479b-ba1c-1c029e057b9e,CNT-42D3F2B431FC,BULLET,ASSET,SLR-ES-002,US,USD,BBB,2330821.0,floating,0.06829,0.0,2023-05-02,2025-06-20,26,monthly,30/360,Following,bullet,True,0.0084,none,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]",1.0,2026-04-09T16:53:11.033128
76de3e47-8fcc-4a38-b824-c5d071361bad,CNT-07D0A0CC4274,BULLET,ASSET,SLR-US-005,FR,EUR,BBB,9455465.0,fixed,0.04485,0.0,2025-08-18,2028-04-04,32,semiannual,ACT/360,ModifiedFollowing,linear,True,0.0,personal,"[0.96875, 0.90625, 0.8125, 0.625, 0.25, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]",1.0,2026-04-09T16:53:11.033203
453dede6-d6a9-4907-bae7-33a7e233b922,CNT-F4A2594C05FB,BULLET,ASSET,SLR-FR-006,US,GBP,BB,5549837.0,fixed,0.04725,0.0,2022-09-11,2024-10-30,26,semiannual,ACT/365,Preceding,constant_installment,False,0.0,mortgage,"[0.961538, 0.884615, 0.769231, 0.538462, 0.076923, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]",1.0,2026-04-09T16:53:11.033270
a095f49a-b9e2-431f-b42e-2c565db6a8e9,CNT-178277855F70,REVOLVER,ASSET,SLR-DE-008,FR,USD,BBB,1931542.0,floating,0.06752,0.0,2021-10-30,2024-09-14,35,semiannual,30/360,Preceding,linear,False,0.0182,commercial,"[0.971429, 0.914286, 0.828571, 0.657143, 0.314286, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]",1.0,2026-04-09T16:53:11.033333
392544c0-004a-4603-b8e8-520dcad9903f,CNT-576FF1595C8D,REVOLVER,ASSET,SLR-ES-001,DE,GBP,BBB,9641199.0,floating,0.06873,0.0,2024-08-05,2026-01-27,18,annual,ACT/365,Following,linear,False,0.0096,none,"[0.944444, 0.833333, 0.666667, 0.333333, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]",1.0,2026-04-09T16:53:11.033385
d40c2f2e-19b9-4047-87c8-64fe1fcb8403,CNT-6AC203ADB7D3,BULLET,ASSET,SLR-ES-008,ES,USD,BBB,2128060.0,fixed,0.07859,0.0,2023-05-17,2026-03-02,34,monthly,ACT/ACT,Following,bullet,False,0.0,personal,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]",1.0,2026-04-09T16:53:11.033441
da11d85f-9f83-4e6a-bdf2-4eb5004577d7,CNT-D1F36EA869D8,BULLET,ASSET,SLR-FR-006,US,EUR,BB,495654.0,floating,0.06388,0.0,2025-12-06,2026-12-31,13,semiannual,ACT/365,ModifiedFollowing,constant_installment,True,0.0,commercial,"[0.923077, 0.769231, 0.538462, 0.076923, 0.0]","[0.029, 0.0298, 0.03, 0.0305]",1.0,2026-04-09T16:53:11.033501
51d25f66-538a-4a87-bbf8-eb277eb6644a,CNT-D6AB4580A567,REVOLVER,ASSET,SLR-DE-003,FR,GBP,NR,524340.0,floating,0.06142,0.0,2025-09-04,2026-12-28,16,annual,ACT/ACT,ModifiedFollowing,constant_installment,True,0.0,mortgage,"[0.9375, 0.8125, 0.625, 0.25, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]",1.0,2026-04-09T16:53:11.033658
310bf047-da81-444d-a9e3-7f562b3eb889,CNT-6EE33EB323E1,BULLET,ASSET,SLR-FR-004,ES,GBP,B,5511583.0,floating,0.06103,0.0,2022-06-26,2024-05-16,23,annual,ACT/ACT,Following,bullet,False,0.0,none,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]",1.0,2026-04-09T16:53:11.033716
b4d00abb-17bd-43a4-a6ea-467c5d21f51e,CNT-AD83EAC3DD60,REVOLVER,ASSET,SLR-US-004,ES,GBP,B,5930597.0,floating,0.06215,0.0,2025-12-01,2028-02-19,27,annual,ACT/ACT,ModifiedFollowing,bullet,True,0.0086,mortgage,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]",1.0,2026-04-09T16:53:11.033884
